,asprin-1.2.0-decision-100-rnd-n1,asprin-1.2.0-decision-100-dissimilarityPositive-n1,asprin-1.2.0-decision-100-n1,asprin-1.2.0-decision-100-dissimilarityAll-n1,asprin-1.2.0-decision-100-dissimilarityAllE-n1,asprin-1.2.0-decision-100-dynamic-n1,asprin-1.2.0-decision-100-nosave-n1,asprin-1.2.0-decision-100-pguide-n1,asprin-1.2.0-decision-100-dissimilarityPositiveE-n1
33,82.460460999999995,15.894583000000001,139.21383700000001,112.336924,19.453541999999999,118.16203899999999,167.32956300000001,120.594666,18.808641000000001
34,85.187047000000007,15.902582000000001,147.15163100000001,112.41091299999999,20.0109575,122.358401,176.98909399999999,124.88101399999999,19.292067500000002
35,86.244885999999994,15.910581000000001,148.29945699999999,117.777097,20.026455000000002,123.435237,178.39488,125.996844,19.306565500000001
36,87.33972,15.91858,156.71117799999999,125.33694800000001,20.113441499999997,136.57624000000001,188.65531999999999,139.50979000000001,19.386552999999999
37,92.357956999999999,15.9270785,156.851157,126.632751,20.251421000000001,137.22214199999999,188.828293,140.19268600000001,19.509034499999999
38,97.424186000000006,15.935077,158.25894299999999,128.50946500000001,20.321910000000003,138.385965,190.547032,141.39850200000001,19.573524500000001
39,99.017944,15.943576,168.93931900000001,130.222205,20.383901000000002,144.181084,203.63904099999999,147.363596,19.631515999999998
40,103.008337,15.952574500000001,178.79581999999999,132.49485899999999,20.618365499999999,155.37738200000001,216.095147,158.82285400000001,19.857481499999999
41,106.56079699999999,15.961072999999999,179.359734,132.71482499999999,20.666857999999998,155.419376,216.84803299999999,158.865848,19.9024745
42,107.935588,15.970071000000001,182.33828099999999,134.175603,20.971811500000001,158.88584900000001,220.58346499999999,162.41730799999999,20.194930499999998
43,112.708862,15.979570000000001,187.24053599999999,137.45310499999999,21.239271000000002,159.28378900000001,226.721532,162.826246,20.4313945
44,118.08204499999999,15.9890685,193.89852400000001,145.166932,21.307760500000001,161.67942500000001,235.162249,165.25787600000001,20.497884500000001
45,121.014599,15.998067000000001,197.575965,151.93390299999999,21.545724499999999,169.94516899999999,239.89353,173.66459800000001,20.721350999999999
46,128.688433,16.007565,209.13220799999999,153.81961699999999,21.6967015,170.684056,254.59529499999999,174.41448399999999,20.865329000000003
47,131.953937,16.017063499999999,211.51084599999999,178.13692,21.9021705,174.54247000000001,257.58684,178.33688799999999,21.059299500000002
48,150.79207299999999,16.027062000000001,217.220978,183.46911,22.026151500000001,187.50550000000001,264.79074500000002,191.801841,21.175281999999999
49,151.42497700000001,16.037060499999999,219.996556,183.90304399999999,22.330105000000003,192.44175000000001,267.42634399999997,196.81907799999999,21.467737499999998
50,153.156713,16.046559000000002,238.330769,184.641932,22.361100499999999,192.63472100000001,284.927684,197.019047,21.496233
51,153.42367300000001,16.0565575,244.21687399999999,191.063954,22.551571500000001,203.39508499999999,290.53383200000002,207.98038,21.681705000000001
